element,redox_reactant,reactant_state,reactant_environment,process,redox_product,product_state,product_environment,mobility_effect,mediator,species_reactant_detail,species_product_detail,process_specific
Cr,Cr(VI),oxidized,bulk oxic soil,reduction,Cr(III),reduced,anoxic microsite,decrease,sulfide,chromate (aq),Cr(III) (hydroxide/oxyhydroxide) (s),reduction
Cr,Cr(VI),oxidized,bulk oxic soil,reduction,Cr(III),reduced,anoxic microsite,decrease,OM,chromate (aq),Cr(III) (hydroxide/oxyhydroxide) (s),reduction
Tc,Tc(IV),reduced,anoxic microsite,oxidation,Tc(VII),oxidized,bulk oxic soil,increase,Mn oxides,TcO₂·nH₂O (s),Tc(VII) (TcO₄⁻) (aq),oxidation
Tc,Tc(IV),reduced,anoxic microsite,oxidation,Tc(VII),oxidized,bulk oxic soil,increase,oxygen,TcO₂·nH₂O (s),Tc(VII) (TcO₄⁻) (aq),oxidation
Tc,Tc(VII),oxidized,bulk oxic soil,reduction,Tc(IV),reduced,anoxic microsite,decrease,Fe(II),TcO₄⁻ (aq),Tc(IV) (TcO₂·nH₂O) (s),reduction
Tc,Tc(VII),oxidized,bulk oxic soil,reduction,Tc(IV),reduced,anoxic microsite,decrease,sulfide,TcO₄⁻ (aq),Tc(IV) (TcO₂·nH₂O) (s),reduction
Tc,Tc(VII),oxidized,bulk oxic soil,reduction,Tc(IV),reduced,anoxic microsite,decrease,microbes,TcO₄⁻ (aq),Tc(IV) (TcO₂·nH₂O) (s),reduction
Pu,Pu(IV),reduced,anoxic microsite,oxidation,Pu(V) ,moderately oxidized,bulk oxic soil,increase,carbonate,hydroxo/oxide (s/colloid),Pu(V/VI) (aq/complexed),oxidation/complexation
Pu,Pu(IV),reduced,anoxic microsite,oxidation,Pu(V) ,moderately oxidized,bulk oxic soil,increase,OM,hydroxo/oxide (s/colloid),Pu(V/VI) (aq/complexed),oxidation/complexation
Pu,Pu(IV),reduced,anoxic microsite,oxidation,Pu(V) ,moderately oxidized,bulk oxic soil,increase,oxygen,hydroxo/oxide (s/colloid),Pu(V/VI) (aq/complexed),oxidation/complexation
Pu,Pu(IV),reduced,anoxic microsite,oxidation,Pu(VI) ,oxidized,bulk oxic soil,increase,carbonate,hydroxo/oxide (s/colloid),Pu(V/VI) (aq/complexed),oxidation/complexation
Pu,Pu(IV),reduced,anoxic microsite,oxidation,Pu(VI) ,oxidized,bulk oxic soil,increase,OM,hydroxo/oxide (s/colloid),Pu(V/VI) (aq/complexed),oxidation/complexation
Pu,Pu(IV),reduced,anoxic microsite,oxidation,Pu(VI) ,oxidized,bulk oxic soil,increase,oxygen,hydroxo/oxide (s/colloid),Pu(V/VI) (aq/complexed),oxidation/complexation
